timestamp,latitude,longitude,curvature
2125:09:04 12:49:25,45.9366051666667,-66.7239473333333,> 175m (Straight/Broad)
2125:09:04 12:49:26,45.9365176666667,-66.7243436666667,> 175m (Straight/Broad)
2125:09:04 12:49:27,45.9364378333333,-66.7247411666667,> 175m (Straight/Broad)
2125:09:04 12:49:28,45.9363633333333,-66.7251401666667,> 175m (Straight/Broad)
2125:09:04 12:49:29,45.9362961666667,-66.7255408333333,> 175m (Straight/Broad)
2125:09:04 12:49:30,45.9362331666667,-66.7259426666667,> 175m (Straight/Broad)
2125:09:04 12:49:31,45.936172,-66.7263445,> 175m (Straight/Broad)
2125:09:04 12:49:32,45.9361123333333,-66.7267468333333,> 175m (Straight/Broad)
2125:09:04 12:49:33,45.9360521666667,-66.7271495,> 175m (Straight/Broad)
2125:09:04 12:49:34,45.9359918333333,-66.727552,> 175m (Straight/Broad)
2125:09:04 12:49:35,45.9359325,-66.7279541666667,> 175m (Straight/Broad)
2125:09:04 12:49:36,45.9358731666667,-66.7283551666667,> 175m (Straight/Broad)
2125:09:04 12:49:37,45.9358141666667,-66.7287543333333,> 175m (Straight/Broad)
2125:09:04 12:49:38,45.935756,-66.729153,> 175m (Straight/Broad)
2125:09:04 12:49:39,45.9356975,-66.729551,> 175m (Straight/Broad)
2125:09:04 12:49:40,45.935639,-66.7299488333333,> 175m (Straight/Broad)
2125:09:04 12:49:41,45.9355801666667,-66.7303465,> 175m (Straight/Broad)
2125:09:04 12:49:42,45.9355213333333,-66.7307448333333,> 175m (Straight/Broad)
2125:09:04 12:49:43,45.9354623333333,-66.7311436666667,> 175m (Straight/Broad)
2125:09:04 12:49:44,45.9354021666667,-66.7315426666667,> 175m (Straight/Broad)
2125:09:04 12:49:45,45.9353413333333,-66.7319421666667,> 175m (Straight/Broad)
2125:09:04 12:49:46,45.9352796666667,-66.732342,> 175m (Straight/Broad)
2125:09:04 12:49:47,45.9352176666667,-66.7327425,> 175m (Straight/Broad)
2125:09:04 12:49:48,45.935155,-66.7331435,> 175m (Straight/Broad)
2125:09:04 12:49:49,45.935092,-66.7335463333333,> 175m (Straight/Broad)
2125:09:04 12:49:50,45.9350253333333,-66.7339491666667,> 175m (Straight/Broad)
2125:09:04 12:49:51,45.9349515,-66.734351,> 175m (Straight/Broad)
2125:09:04 12:49:52,45.9348808333333,-66.7347545,> 175m (Straight/Broad)
2125:09:04 12:49:53,45.9348161666667,-66.7351603333333,> 175m (Straight/Broad)
2125:09:04 12:49:54,45.934753,-66.7355678333333,> 175m (Straight/Broad)
2125:09:04 12:49:55,45.9346893333333,-66.7359758333333,> 175m (Straight/Broad)
2125:09:04 12:49:56,45.9346255,-66.7363841666667,> 175m (Straight/Broad)
2125:09:04 12:49:57,45.9345613333333,-66.7367916666667,> 175m (Straight/Broad)
2125:09:04 12:49:58,45.934497,-66.737197,> 175m (Straight/Broad)
2125:09:04 12:49:59,45.9344323333333,-66.7376011666667,> 175m (Straight/Broad)
2125:09:04 12:50:00,45.9343683333333,-66.7380043333333,> 175m (Straight/Broad)
2125:09:04 12:50:01,45.934304,-66.738406,> 175m (Straight/Broad)
2125:09:04 12:50:02,45.9342395,-66.7388068333333,> 175m (Straight/Broad)
2125:09:04 12:50:03,45.9341751666667,-66.7392071666667,> 175m (Straight/Broad)
2125:09:04 12:50:04,45.9341115,-66.7396075,> 175m (Straight/Broad)
2125:09:04 12:50:05,45.934049,-66.7400076666667,> 175m (Straight/Broad)
2125:09:04 12:50:06,45.9339868333333,-66.740407,> 175m (Straight/Broad)
2125:09:04 12:50:07,45.9339241666667,-66.7408053333333,> 175m (Straight/Broad)
2125:09:04 12:50:08,45.9338606666667,-66.741203,> 175m (Straight/Broad)
2125:09:04 12:50:09,45.9337966666667,-66.7416003333333,> 175m (Straight/Broad)
2125:09:04 12:50:10,45.9337328333333,-66.7419978333333,> 175m (Straight/Broad)
